"","Feature","Count","Probability"
"1","Brake Balance",50,1
"2","Differential",50,1
"3","Engine:Altitude",50,1
"4","Engine:Brake Balance",50,1
"5","Front Wing:Rear Wing_p2",50,1
"6","Front Wing:Suspension_p2",50,1
"7","Inclines:Suspension_p2",50,1
"8","Brake Balance:Differential_p2",49,0.98
"9","Rear Wing:Engine",49,0.98
"10","Cornering:Suspension_p2",47,0.94
"11","Engine:Cornering",47,0.94
"12","Engine:Front Wing",47,0.94
"13","Engine:Lap Distance",47,0.94
"14","Engine:Width",46,0.92
"15","Suspension:Altitude",44,0.88
"16","Suspension:Grip_p2",44,0.88
"17","Front Wing:Differential_p2",43,0.86
"18","Altitude:Lap Distance_p2",42,0.84
"19","Air Density:Front Wing_p2",41,0.82
"20","Engine:Altitude_p2",41,0.82
"21","Air Density:Air Pressure_p2",40,0.8
"22","Inclines:Engine_p2",40,0.8
"23","Air Pressure:Front Wing_p2",38,0.76
"24","Differential:Engine_p2",38,0.76
"25","Engine:Differential_p2",38,0.76
"26","Humidity:Engine_p2",36,0.72
"27","Differential:Camber",35,0.7
"28","Front Wing:Air Pressure",35,0.7
"29","Suspension:Camber",35,0.7
"30","Air Pressure:Air Density_p2",33,0.66
"31","Engine:Lap Distance_p2",33,0.66
"32","Rear Wing:Grip",31,0.62
"33","Temperature:Engine_p2",31,0.62
"34","Suspension:Wind (Gusts)",28,0.56
"35","Engine:Engine_p2",26,0.52
"36","Suspension:Grip",26,0.52
"37","Wind (Gusts):Engine_p2",20,0.4
"38","Rear Wing",19,0.38
"39","Air Density:Engine_p2",18,0.36
"40","Suspension:Roughness",18,0.36
"41","Brake Balance:Width_p2",17,0.34
"42","Suspension:Air Pressure",17,0.34
"43","Suspension:Width_p2",17,0.34
"44","Engine:Camber",16,0.32
"45","Suspension:Wind (Avg. Speed)_p2",16,0.32
"46","Differential:Cornering_p2",15,0.3
"47","Air Pressure:Lap Distance_p2",14,0.28
"48","Brake Balance:Camber",14,0.28
"49","Suspension:Engine_p2",14,0.28
"50","Suspension:Suspension_p2",14,0.28
"51","Brake Balance:Cornering_p2",13,0.26
"52","Grip",13,0.26
"53","Suspension:Roughness_p2",13,0.26
"54","Camber:Grip",12,0.24
"55","Differential:Camber_p2",12,0.24
"56","Front Wing:Air Pressure_p2",12,0.24
