"","lambda","par","df","r2","aicc","bic"
"seg1",0.181650795132847,1,1,0,-6411.86657539902,3597.39342821307
"seg2",0.179983751254166,2,2,0.00134401874927492,-6420.62495698184,3601.55773977872
"seg3",0.178332006154064,2,2,0.00266348206178224,-6431.20185849019,3596.82296940603
"seg4",0.176695419432741,2,2,0.00395883856927537,-6441.59913907166,3592.17470404267
"seg5",0.175073851978875,2,2,0.00523052870692686,-6451.81962143971,3587.61136322832
"seg6",0.173467165957792,2,2,0.00647898486306508,-6461.86609164099,3583.13139537801
"seg7",0.171875224799755,2,2,0.00770463152626011,-6471.74129926998,3578.73327725432
"seg8",0.170297893188352,2,2,0.00890788542958054,-6481.44795769128,3574.41551344969
"seg9",0.168735037048998,2,2,0.0100891556923066,-6490.98874427066,3570.17663587797
"seg10",0.167186523537533,2,2,0.0112488439590525,-6500.36630061392,3566.01520327511
"seg11",0.165652221028934,2,2,0.0123873445363489,-6509.58323281317,3561.92980070909
"seg12",0.164131999106127,2,2,0.0135050445266273,-6518.64211169913,3557.91903909915
"seg13",0.1626257285489,2,2,0.0146023239599454,-6527.54547310159,3553.98155474305
"seg14",0.161133281322917,2,2,0.0156795559231283,-6536.29581811455,3550.11600885371
"seg15",0.159654530568841,3,3,0.0169434703174406,-6544.57329947672,3554.56776738588
"seg16",0.158189350591545,3,3,0.0181873451557883,-6554.70221809835,3550.10423916488
"seg17",0.156737616849431,3,3,0.0194072290074561,-6564.64824855861,3545.72680034998
"seg18",0.155299205943842,4,4,0.0206553969908165,-6572.83570027846,3550.23506340132
"seg19",0.153873995608576,4,4,0.0219613160151538,-6583.51051681974,3545.5488954367
"seg20",0.152461864699488,4,4,0.0232367675202725,-6593.95005384185,3540.97205730789
"seg21",0.151062693184198,4,4,0.0244885103453025,-6604.20879853485,3536.48029555445
"seg22",0.149676362131886,4,4,0.025717373642398,-6614.29284545827,3532.07063484163
"seg23",0.148302753703182,4,4,0.0269237857772298,-6624.20503843703,3527.74153801937
"seg24",0.146941751140151,4,4,0.0281081569074111,-6633.94809840858,3523.49153327554
"seg25",0.145593238756366,4,4,0.0292708897083452,-6643.52471035859,3519.31917564723
"seg26",0.14425710192708,4,4,0.0304123795121936,-6652.93752357556,3515.22304652203
"seg27",0.142933227079475,4,4,0.0315330144289822,-6662.18915178607,3511.20175320351
"seg28",0.141621501683014,4,4,0.0326331919694509,-6671.28230978386,3507.25386926165
"seg29",0.140321814239875,4,4,0.0337132852305597,-6680.21953342361,3503.378055873
"seg30",0.139034054275472,4,4,0.0347736459201897,-6689.00320308243,3499.57305096681
"seg31",0.137758112329065,4,4,0.035814633674973,-6697.63578549942,3495.83756402075
"seg32",0.136493879944457,4,4,0.0368366024175923,-6706.11972038478,3492.17032501644
"seg33",0.135241249660772,4,4,0.0378406697063989,-6714.46381659509,3488.56732370055
"seg34",0.134000115003324,4,4,0.0388266093138872,-6722.66574386931,3485.02937186926
"seg35",0.132770370474568,4,4,0.0397945423515719,-6730.72606467824,3481.55603492527
"seg36",0.131551911545126,4,4,0.040755265692055,-6738.73438643401,3478.10856930363
"seg37",0.130344634644908,5,5,0.0416835944142737,-6744.47779638631,3483.7645455527
"seg38",0.129148437154306,5,5,0.0426534292398825,-6752.57805135134,3480.28438422107
"seg39",0.127963217395472,5,5,0.0436033411156566,-6760.51986456073,3476.87571452677
"seg40",0.126788874623675,5,5,0.0445357368091376,-6768.32290719117,3473.52990001015
"seg41",0.125625309018736,5,5,0.0454511010831833,-6775.99082791368,3470.24520114518
"seg42",0.124472421676548,5,5,0.0463497499562395,-6783.52588160014,3467.02048392927
"seg43",0.123330114600662,5,5,0.0472319822018028,-6790.93019427107,3463.85467624175
"seg44",0.122198290693964,5,5,0.0480980959427867,-6798.20590154817,3460.74670829651
"seg45",0.121076853750416,5,5,0.0489483855620702,-6805.35512231563,3457.69552372819
"seg46",0.119965708446885,5,5,0.0497831402331851,-6812.37994588855,3454.70008486467
"seg47",0.118864760335032,5,5,0.0506026438025643,-6819.28243051585,3451.75937314966
"seg48",0.117773915833292,5,5,0.0514071749119642,-6826.06460391606,3448.87238870334
"seg49",0.116693082218913,5,5,0.0521970071100196,-6832.72846373889,3446.03814992209
"seg50",0.115622167620079,5,5,0.0529724089479401,-6839.27597790949,3443.25569313506
"seg51",0.1145610810081,5,5,0.0537336440706949,-6845.70908495017,3440.52407227701
"seg52",0.11350973218967,5,5,0.0544809713064193,-6852.02969430194,3437.84235856745
"seg53",0.112468031799209,5,5,0.0552146447544432,-6858.23968664897,3435.20964019475
"seg54",0.111435891291257,5,5,0.055934913871639,-6864.3409142429,3432.62502200633
"seg55",0.110413222932957,5,5,0.0566420235572673,-6870.33520122802,3430.08762520414
"seg56",0.109399939796589,5,5,0.0573362142362339,-6876.22434396625,3427.59658704596
"seg57",0.108395955752189,5,5,0.0580177219408542,-6882.01011136233,3425.15106055196
"seg58",0.107401185460221,5,5,0.058686778391094,-6887.69424518842,3422.75021421677
"seg59",0.106415544364328,5,5,0.0593436110733561,-6893.27846040851,3420.39323172676
"seg60",0.105438948684142,5,5,0.059988443317823,-6898.7644455022,3418.07931168251
"seg61",0.104471315408163,5,5,0.0606214943744134,-6904.15386278797,3415.80766732625
"seg62",0.103512562286705,5,5,0.0612429794873004,-6909.44834874532,3413.57752627445
"seg63",0.102562607824901,5,5,0.0618531099681225,-6914.64951433625,3411.38813025511
"seg64",0.101621371275779,6,6,0.0624609849832309,-6917.83181421336,3418.19402458364
"seg65",0.100688772633397,6,6,0.0630831007353492,-6923.14207641986,3415.9616205421
"seg66",0.0997647326260433,6,6,0.0636760768617423,-6928.20689148567,3413.83378131508
"seg67",0.0988491727094963,6,6,0.0642549643840565,-6933.15446599083,3411.75649772273
"seg68",0.0979420150603511,7,7,0.0648976483148228,-6936.64737064251,3418.43748352142
"seg69",0.0970431825694023,7,7,0.0656682634832884,-6943.24286575605,3415.67220324889
"seg70",0.0961525988350907,7,7,0.0664302290563721,-6949.76968197034,3412.93796123833
