"time" "cusn" "quan" "pric" "totr" "tots" "dayw" "date" "type" "ethn" "size" "cash" "estb" "qual" "loct" "stor" "phon"
"1" 605 1 200 0.75 7049 5535 1 413 "w" "s" "m" "0" "s" 3 1 1 1
"2" 400 6 240 0.7 7049 5535 1 413 "w" "a" "m" "c" "s" 3 1 1 0
"3" 535 7 60 0.75 7049 5535 1 413 "w" "s" "m" "0" "s" 3 1 1 0
"4" 615 11 120 0.75 7049 5535 1 413 "w" "s" "m" "0" "s" 3 1 1 0
"5" 632 11 100 0.85 7049 5535 1 413 "w" "s" "l" "0" "s" 3 1 1 0
"6" 645 42 100 0.85 7049 5535 1 413 "w" "s" "l" "0" "s" 3 NA 1 0
"7" 455 52 600 0.75 7049 5535 1 413 "w" "a" "m" "c" "s" 3 NA 1 0
"8" 525 57 400 0.85 7049 5535 1 413 "w" "a" "l" "c" "s" 3 1 1 0
"9" 630 65 60 0.75 7049 5535 1 413 "w" "a" "m" "c" "s" 3 NA 1 0
"10" 645 78 300 0.6 7049 5535 1 413 "w" "a" "m" "c" "f" 3 1 0 0
"11" 420 128 60 0.75 7049 5535 1 413 "w" "s" "m" "c" "sr" 3 1 NA 0
"12" 715 130 400 0.6 7049 5535 1 413 "w" "a" "s" "c" "s" 3 1 1 0
"13" 417 176 60 0.75 7049 5535 1 413 "w" "b" "m" "c" "f" 3 1 0 0
"14" 730 178 35 0.5 7049 5535 1 413 "w" NA NA "c" NA NA NA NA 0
"15" 630 190 120 0.75 7049 5535 1 413 "w" "s" "m" "0" "s" 3 1 1 0
"16" 800 194 600 0.55 7049 5535 1 413 "w" "a" "s" "c" "f" 3 1 0 0
"17" 445 195 100 0.75 7049 5535 1 413 "w" "s" "m" "0" "s" 3 1 1 0
"18" 715 215 360 0.65 7049 5535 1 413 "w" "a" "m" "c" "f" 3 1 0 0
"19" 715 229 1140 0.75 7049 5535 1 413 "w" "b" "m" "c" "f" 3 1 0 0
"20" 520 246 600 0.95 7049 5535 1 413 "w" "s" "m" "0" "s" 3 3 1 1
"21" 620 1 60 0.75 200 2260 2 414 "w" "s" "m" "0" "s" 3 1 1 1
"22" 700 5 120 0.75 200 2260 2 414 "w" "s" "m" "c" "s" 3 1 1 0
"23" 540 24 400 0.7 200 2260 2 414 "w" "a" "lm" "c" "f" 4 NA 0 0
"24" 645 78 120 0.6 200 2260 2 414 "w" "a" "m" "c" "f" 3 1 0 0
"25" 815 97 200 0.65 200 2260 2 414 "w" "s" "m" "0" "s" 3 NA 1 0
"26" 701 140 60 0.75 200 2260 2 414 "w" "s" "m" "c" "s" 3 NA 1 0
"27" 800 166 110 0.65 200 2260 2 414 "w" "a" "m" "c" "s" 3 1 1 0
"28" 610 190 60 0.75 200 2260 2 414 "w" "s" "m" "0" "s" 3 1 1 0
"29" 800 207 60 0.75 200 2260 2 414 "w" "s" "m" "c" "s" 3 1 1 0
"30" 600 210 120 0.75 200 2260 2 414 "w" "s" "m" "0" "s" 3 1 1 0
"31" 700 215 300 0.65 200 2260 2 414 "w" "a" "m" "c" "f" 3 1 0 0
"32" 415 1 60 1 360 490 3 415 "w" "s" "m" "0" "s" 4 1 1 1
"33" 630 78 190 0.6 360 490 3 415 "w" "a" "m" "c" "f" 4 1 0 0
"34" 420 107 120 0.85 360 490 3 415 "w" "s" "m" "c" "sf" 2 1 NA 0
"35" 715 225 120 0.75 360 490 3 415 "w" "a" "m" "c" "s" 4 NA 1 0
"36" 600 1 240 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 1
"37" 615 5 60 0.75 11875 9655 4 416 "w" "s" "m" "c" "s" 1 1 1 0
"38" 435 7 65 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"39" 500 12 130 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 NA 1 0
"40" 621 20 60 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 1 1 0
"41" 645 23 600 0.6 11875 9655 4 416 "w" "a" "m" "c" "s" 1 1 1 0
"42" 815 35 60 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 NA 1 0
"43" 640 41 120 0.75 11875 9655 4 416 "w" "s" "m" "c" "s" 1 NA 1 0
"44" 610 50 130 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 NA 1 0
"45" 730 55 60 0.75 11875 9655 4 416 "w" "a" "m" "0" "s" 1 1 1 0
"46" 645 78 740 0.6 11875 9655 4 416 "w" "a" "m" "c" "f" 1 1 0 0
"47" 622 81 120 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 2 1 0
"48" 345 81 480 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 2 1 0
"49" 620 84 180 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 1 1 0
"50" 555 107 180 0.75 11875 9655 4 416 "w" "s" "m" "c" "sf" 1 1 NA 0
"51" 550 113 260 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 1
"52" NA 117 180 0.75 11875 9655 4 416 "w" NA "m" "c" NA 1 NA NA 0
"53" 725 122 60 0.75 11875 9655 4 416 "w" "s" "m" "c" "s" 1 NA 1 0
"54" 710 129 300 0.75 11875 9655 4 416 "w" "a" "m" "c" "f" 1 1 0 0
"55" 540 133 240 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 NA 1 1
"56" 801 136 120 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 NA 1 0
"57" 801 146 120 0.75 11875 9655 4 416 "w" "a" "m" "c" NA 1 NA NA 0
"58" 520 151 65 0.75 11875 9655 4 416 "w" "s" "m" "c" "s" 1 1 1 0
"59" NA 182 60 0.7 11875 9655 4 416 "w" NA "m" "0" NA 1 NA NA 0
"60" 705 190 120 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"61" 450 193 65 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"62" 830 194 600 0.65 11875 9655 4 416 "w" "a" "m" "c" "f" 1 1 0 0
"63" 335 195 130 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"64" 815 196 60 0.75 11875 9655 4 416 "w" "b" "m" "c" "f" 1 1 0 0
"65" 805 200 60 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"66" NA 202 500 0.6 11875 9655 4 416 "w" NA "m" "c" NA 1 NA NA 0
"67" 705 210 120 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"68" 705 215 360 0.65 11875 9655 4 416 "w" "a" "m" "c" "f" 1 1 0 0
"69" 700 229 1440 0.75 11875 9655 4 416 "w" "b" "m" "c" "f" 1 1 0 0
"70" 810 235 120 0.75 11875 9655 4 416 "w" "b" "m" "c" NA 1 NA NA 0
"71" 530 244 130 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"72" 455 246 600 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 3 1 1
"73" 440 251 60 0.75 11875 9655 4 416 "w" "s" "m" "0" "s" 1 1 1 0
"74" 730 257 720 0.75 11875 9655 4 416 "w" "a" "m" "c" "s" 1 1 1 0
"75" 300 1 180 0.85 3900 6050 5 417 "w" "s" "m" "0" "s" 2 1 1 1
"76" 555 2 400 0.75 3900 6050 5 417 "w" "a" "m" "c" "s" 2 2 1 0
"77" 430 7 120 0.85 3900 6050 5 417 "w" "s" "m" "0" "s" 2 1 1 0
"78" 650 16 100 0.8 3900 6050 5 417 "w" "b" "m" "0" "s" 2 1 1 0
"79" 632 19 200 0.85 3900 6050 5 417 "w" "a" "m" "c" "s" 2 1 1 0
"80" 800 23 800 0.75 3900 6050 5 417 "w" "a" NA "c" "s" NA 1 1 0
"81" 632 35 100 0.8 3900 6050 5 417 "w" "a" "m" "c" "s" 2 NA 1 0
"82" 731 63 100 0.75 3900 6050 5 417 "w" "a" "m" "c" "f" 4 NA 0 0
"83" 615 72 60 0.85 3900 6050 5 417 "w" "b" "m" "c" "f" 2 1 0 0
"84" 650 74 300 0.85 3900 6050 5 417 "w" "a" "m" "c" "s" 2 2 1 0
"85" 655 78 1500 0.75 3900 6050 5 417 "w" "a" "m" "c" "f" 2 1 0 0
"86" 635 81 300 0.75 3900 6050 5 417 "w" "a" "s" "c" "s" 1 2 1 0
"87" 700 82 500 0.75 3900 6050 5 417 "w" "a" "m" "c" "fd" 2 2 NA 0
"88" 630 108 120 0.85 3900 6050 5 417 "w" "s" "m" "c" "sf" 2 1 NA 0
"89" 435 128 60 0.85 3900 6050 5 417 "w" "s" "m" "c" "sr" 2 1 NA 0
"90" 632 129 100 0.8 3900 6050 5 417 "w" "a" "m" "c" "f" 2 1 0 0
"91" 730 153 100 0.75 3900 6050 5 417 "w" "a" "m" "c" "s" 4 1 1 0
"92" 630 170 60 0.75 3900 6050 5 417 "w" "s" "m" "c" "s" 2 1 1 0
"93" 711 185 50 0.8 3900 6050 5 417 "w" "s" "m" "c" NA 4 NA NA 0
"94" 540 190 240 0.75 3900 6050 5 417 "w" "s" "m" "0" "s" 2 1 1 0
"95" 700 215 200 0.75 3900 6050 5 417 "w" "a" "m" "c" "f" 2 1 0 0
"96" 330 238 60 0.85 3900 6050 5 417 "w" "s" "m" "0" "s" 2 3 1 1
"97" 616 254 150 0.85 3900 6050 5 417 "w" "a" "m" "c" "s" 2 1 1 0
"98" 430 1 120 0.75 10700 10494 2 421 "w" "s" "s" "0" "s" 3 1 1 1
"99" 700 5 60 0.75 10700 10494 2 421 "w" "s" "s" "c" "s" 3 1 1 0
"100" 600 13 360 0.75 10700 10494 2 421 "w" "a" "m" "c" "f" 1 NA 0 0
"101" 635 25 60 0.75 10700 10494 2 421 "w" "s" "m" "0" "s" 1 1 1 0
"102" 615 29 240 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 2 1 0
"103" 501 33 360 0.75 10700 10494 2 421 "w" "a" "m" "c" "s" 1 1 1 0
"104" 725 46 240 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 NA 1 0
"105" 735 51 240 0.75 10700 10494 2 421 "w" "a" "s" "c" "s" 3 2 1 0
