Lap Distance,Cornering,Inclines,Camber,Grip,Wind (Avg. Speed),Temperature,Humidity,Air Density,Air Pressure,Wind (Gusts),Altitude,Roughness,Width,Rear Wing,Engine,Front Wing,Brake Balance,Differential,Suspension,Lap Time
3.5,80,87,94,7,57,9,32,39,7,81,7,30,35,500,1,334,22,54,1,67.069
4.1,27,63,10,96,67,28,56,32,63,34,83,37,7,433,101,302,48,115,161,78.072
4.9,2,43,45,66,33,6,44,1,89,17,87,5,36,226,1,81,1,1,103,92.396
3,90,25,8,41,90,5,21,35,68,29,70,64,34,339,1,163,121,1,8,58.063
3.1,60,4,40,26,49,0,33,0,59,53,22,61,59,318,1,360,97,1,187,58.655
4,77,56,24,71,94,21,43,6,30,84,50,38,0,349,60,390,52,1,170,77.205
4.2,71,69,83,23,39,11,38,37,73,65,75,73,83,268,1,330,298,92,249,81.003
4.9,14,48,17,66,70,18,32,68,30,22,38,19,53,212,1,24,1,146,55,94.169
4.2,83,8,83,69,22,2,64,76,95,4,28,85,17,1,116,47,170,101,123,80.709
3.9,89,41,95,91,29,1,67,12,77,92,7,52,60,500,119,280,340,107,138,75.368
4.9,69,33,63,2,51,13,88,41,63,16,14,91,50,374,1,225,322,1,136,92.554
4,58,12,65,20,53,24,46,11,28,28,58,5,40,352,67,276,1,1,162,76.342
3.2,26,1,66,70,7,25,32,85,22,46,7,32,40,1,20,54,87,1,333,60.112
3.1,94,92,25,21,29,28,51,12,76,63,91,21,94,481,41,447,457,500,1,58.712
4.5,58,88,94,38,52,1,38,82,12,75,73,19,85,500,63,366,166,283,203,86.055
4.2,92,45,72,7,33,27,96,22,89,58,37,84,22,400,1,431,414,152,129,81.327
4.1,68,3,13,27,78,18,65,63,72,99,77,7,64,85,1,126,156,138,101,78.388
4.6,91,86,3,22,65,18,23,62,55,18,1,58,5,414,1,279,134,118,1,86.909
4.8,64,34,0,78,58,3,44,2,62,1,37,14,80,408,1,377,131,228,116,91.385
3.1,61,21,9,79,95,23,60,89,5,87,1,58,87,500,10,356,422,418,168,59.896
3.5,74,4,86,14,37,5,37,47,71,98,83,1,1,59,65,118,151,1,62,67.194
5,40,69,59,25,30,8,14,20,86,38,86,56,29,143,146,32,51,55,87,96.642
4,62,55,23,6,77,16,42,90,2,92,98,36,76,500,128,500,184,1,124,77.296
3.8,62,0,29,63,54,18,28,77,54,8,24,28,12,89,13,149,173,1,294,72.833
3.2,68,99,61,61,21,37,50,74,74,64,60,89,81,297,320,346,500,327,40,62.49
3.9,74,55,92,45,63,15,38,37,35,55,53,37,86,307,92,276,164,334,288,76.853
4.3,30,40,13,54,86,19,4,63,94,21,84,20,89,156,74,1,274,1,203,82.957
3.1,27,83,3,54,93,14,73,21,58,45,48,67,59,500,1,354,21,32,1,59.269
4,69,71,80,17,78,39,23,40,47,5,99,68,75,407,114,329,429,363,20,77.292
4.4,39,34,5,65,84,38,78,21,10,7,46,89,73,408,1,449,223,22,272,85.207
3.9,16,39,74,27,23,15,48,84,4,80,29,75,53,167,15,317,68,92,242,75.198
4.1,94,77,58,81,22,24,98,88,50,13,28,86,90,444,339,316,330,500,24,78.086
4,63,7,55,30,31,33,89,50,74,41,83,47,91,260,1,1,297,165,102,76.547
3.4,60,64,87,75,43,38,60,5,57,36,16,94,94,489,167,207,361,272,241,65.623
3.2,31,88,29,12,48,37,40,7,62,93,51,19,57,309,84,357,109,169,1,61.426
3.3,92,14,100,82,89,2,12,89,2,79,78,28,63,500,7,478,159,212,141,63.255
4.1,99,67,45,51,32,3,82,89,83,61,28,44,25,499,1,430,286,432,113,79.496
3.6,46,55,36,82,24,28,55,67,35,51,55,46,23,255,80,62,199,248,106,69.783
4.2,86,54,20,80,11,22,69,97,83,42,54,25,42,1,365,47,245,284,5,81.635
3,54,78,84,29,4,18,83,36,5,94,72,77,94,500,131,377,329,202,55,57.628
3.1,66,37,74,27,77,16,45,95,99,76,88,53,72,45,130,53,192,295,85,59.681
3.4,86,61,56,20,21,16,93,25,83,83,55,66,33,500,5,460,237,1,37,65.11
4.8,94,53,26,68,10,1,72,99,39,64,37,70,40,343,32,286,127,417,225,93.208
4.4,34,81,72,49,62,0,84,10,35,32,62,90,38,406,71,470,1,1,136,84.318
4.9,11,58,9,39,70,34,97,21,92,18,43,59,20,455,56,1,1,1,91,94.118
3,94,9,45,53,81,39,17,2,68,43,96,25,33,442,139,283,249,117,50,57.754
4,0,46,82,51,53,18,96,62,11,83,72,11,73,155,1,75,1,82,215,76.106
4.2,13,23,58,14,8,19,99,54,75,55,52,84,92,49,208,1,163,1,151,81.246
4,55,58,41,8,54,4,24,65,54,12,79,7,70,382,1,207,222,1,1,76.589
3,5,80,17,25,13,1,87,79,7,15,7,13,55,308,1,231,1,18,1,56.887
4,46,16,44,75,25,10,3,35,47,32,71,55,74,303,33,241,299,1,172,77.48
4.1,79,57,20,75,38,33,98,23,51,45,21,22,4,387,243,387,183,64,1,78.871
3.9,69,56,21,54,5,18,97,82,41,46,87,98,77,488,27,77,354,331,180,74.346
5.1,49,65,79,7,1,3,60,27,50,39,14,71,54,295,1,50,181,70,127,97.312
3.5,43,87,10,60,59,11,62,73,66,13,61,19,52,328,12,99,209,249,1,67.47
4,62,26,51,84,10,10,42,19,38,54,4,35,50,222,1,380,139,1,288,76.743
3.1,74,51,44,54,49,5,55,10,46,29,24,1,39,329,137,470,151,64,111,59.643
4.1,72,51,85,91,43,24,43,9,95,84,17,72,59,339,65,97,187,106,145,79.641
3.9,60,38,69,7,7,38,76,43,54,84,98,79,20,293,1,147,263,29,177,74.323
4,47,93,48,43,92,16,52,55,79,82,47,91,5,496,39,373,198,25,52,76.389
4.1,1,88,72,76,31,11,12,90,43,100,29,11,11,106,59,1,21,145,264,79.423
3.2,60,58,3,45,94,13,68,93,73,2,86,45,47,465,1,144,229,269,64,61.356
3.8,47,93,98,29,18,34,3,77,87,46,97,52,3,103,95,117,92,1,1,72.721
3.5,6,70,79,97,72,40,33,73,45,1,3,24,89,229,386,217,197,338,348,67.679
5.1,52,81,13,4,83,3,30,0,89,36,41,93,70,500,1,395,362,1,105,96.254
4.4,45,12,77,26,80,17,20,14,78,76,9,10,79,195,1,197,51,45,58,84.061
3.1,63,93,62,59,0,19,66,3,45,9,37,92,43,369,1,233,194,320,203,60.271
4.3,72,18,90,15,34,4,94,73,15,93,82,36,11,480,24,249,110,1,22,82.215
4.8,67,91,36,51,11,35,53,51,52,69,92,75,63,385,173,179,172,229,142,93.579
4.1,19,55,43,63,35,7,80,49,5,35,31,59,81,391,145,404,254,28,252,79.456
3.2,50,43,41,96,100,13,63,73,71,18,49,7,68,235,164,336,75,369,331,62.402
3,38,68,53,6,47,5,54,9,49,61,48,88,98,385,1,398,316,87,1,57.383
3.8,35,94,31,13,88,14,50,25,90,68,85,38,9,355,72,268,13,150,12,72.693
5.1,52,18,28,23,34,8,28,23,13,13,41,76,91,500,1,271,336,1,276,97.146
3.4,28,57,27,80,55,28,83,16,97,59,80,50,19,356,1,176,31,1,216,65.083
3.5,59,99,9,72,55,34,58,12,81,46,50,58,69,474,207,500,396,479,2,67.703
4.7,28,34,17,33,56,20,33,84,49,68,17,98,69,310,72,216,364,121,281,91.216
3.9,74,4,31,17,31,4,68,63,35,48,72,91,42,431,117,230,300,141,31,76.343
4.7,13,5,1,72,99,38,64,88,8,97,52,5,11,229,1,339,80,1,123,89.834
